year,round,country,bookmaker,odds
2015,final,SE,BETFAIR*EXCHANGE,2.2
2015,final,SE,BETFAIRSPORT,2.1
2015,final,SE,BETFRED,2
2015,final,SE,BETVICTOR,2.1
2015,final,SE,BETWAY,2.1
2015,final,SE,BOYLESPORTS,2.25
2015,final,SE,BWIN,1
2015,final,SE,CORAL,2.1
2015,final,SE,INTERTOPS,2.25
2015,final,SE,MATCHBOOK,2.21
2015,final,SE,PADDYPOWER,2
2015,final,SE,PAF,2.25
2015,final,SE,SKYBET,2.1
2015,final,SE,SPORTINGBET,2
2015,final,SE,STANJAMES,2.25
2015,final,SE,TITANBET,2.1
2015,final,SE,UNIBET,2
2015,final,SE,YOUWIN,2.38
2015,final,SI,BET365,81
2015,final,SI,BETFAIR*EXCHANGE,200
2015,final,SI,BETFAIRSPORT,81
2015,final,SI,BETFRED,67
2015,final,SI,BETVICTOR,67
2015,final,SI,BETWAY,67
2015,final,SI,BOYLESPORTS,67
2015,final,SI,BWIN,67
2015,final,SI,CORAL,81
2015,final,SI,INTERTOPS,51
2015,final,SI,MATCHBOOK,199
2015,final,SI,PADDYPOWER,67
2015,final,SI,PAF,51
2015,final,SI,SKYBET,67
2015,final,SI,SPORTINGBET,67
2015,final,SI,STANJAMES,51
2015,final,SI,TITANBET,81
2015,final,SI,UNIBET,51
2015,final,SI,YOUWIN,81
2015,semi-final-1,AL,BETFAIR*EXCHANGE,1.5
2015,semi-final-1,AL,BETFAIRSPORT,1.28
2015,semi-final-1,AL,BETFRED,1.53
2015,semi-final-1,AL,BOYLESPORTS,1.4
2015,semi-final-1,AL,CORAL,1.33
2015,semi-final-1,AL,PADDYPOWER,1.22
2015,semi-final-1,AL,SKYBET,1.53
2015,semi-final-1,AL,SPORTINGBET,1.25
2015,semi-final-1,AL,TITANBET,1.44
2015,semi-final-1,AL,YOUWIN,1.4
2015,semi-final-1,AM,BETFAIR*EXCHANGE,1.31
2015,semi-final-1,AM,BETFAIRSPORT,1.22
2015,semi-final-1,AM,BETFRED,1.25
2015,semi-final-1,AM,BOYLESPORTS,1.29
2015,semi-final-1,AM,CORAL,1.29
2015,semi-final-1,AM,PADDYPOWER,1.29
2015,semi-final-1,AM,SKYBET,1.25
2015,semi-final-1,AM,SPORTINGBET,1.22
2015,semi-final-1,AM,TITANBET,1.3
2015,semi-final-1,AM,YOUWIN,1.3
2015,semi-final-1,BE,BETFAIR*EXCHANGE,1.32
2015,semi-final-1,BE,BETFAIRSPORT,1.2
2015,semi-final-1,BE,BETFRED,1.33
2015,semi-final-1,BE,BOYLESPORTS,1.36
2015,semi-final-1,BE,CORAL,1.29
2015,semi-final-1,BE,PADDYPOWER,1.25
2015,semi-final-1,BE,SKYBET,1.29
2015,semi-final-1,BE,SPORTINGBET,1.33
2015,semi-final-1,BE,TITANBET,1.3
2015,semi-final-1,BE,YOUWIN,1.25
2015,semi-final-1,BY,BETFAIR*EXCHANGE,1.63
2015,semi-final-1,BY,BETFAIRSPORT,1.53
2015,semi-final-1,BY,BETFRED,1.67
2015,semi-final-1,BY,BOYLESPORTS,1.57
2015,semi-final-1,BY,CORAL,1.62
2015,semi-final-1,BY,PADDYPOWER,1.5
2015,semi-final-1,BY,SKYBET,1.62
2015,semi-final-1,BY,SPORTINGBET,1.57
2015,semi-final-1,BY,TITANBET,1.57
2015,semi-final-1,BY,YOUWIN,1.55
2015,semi-final-1,DK,BETFAIR*EXCHANGE,2.14
2015,semi-final-1,DK,BETFAIRSPORT,1.72
2015,semi-final-1,DK,BETFRED,2
2015,semi-final-1,DK,BOYLESPORTS,1.9
2015,semi-final-1,DK,CORAL,1.91
2015,semi-final-1,DK,PADDYPOWER,1.73
2015,semi-final-1,DK,SKYBET,1.8
2015,semi-final-1,DK,SPORTINGBET,1.72
2015,semi-final-1,DK,TITANBET,1.8
2015,semi-final-1,DK,YOUWIN,1.95
2015,semi-final-1,EE,BETFAIR*EXCHANGE,1.03
2015,semi-final-1,EE,BETFAIRSPORT,1.03
2015,semi-final-1,EE,BETFRED,1.03
2015,semi-final-1,EE,BOYLESPORTS,1.03
2015,semi-final-1,EE,CORAL,1.02
2015,semi-final-1,EE,PADDYPOWER,1.02
2015,semi-final-1,EE,SKYBET,1.03
2015,semi-final-1,EE,SPORTINGBET,1.03
2015,semi-final-1,EE,TITANBET,1.03
2015,semi-final-1,EE,YOUWIN,1.02
2015,semi-final-1,FI,BETFAIR*EXCHANGE,2.03
2015,semi-final-1,FI,BETFAIRSPORT,1.5
2015,semi-final-1,FI,BETFRED,2
