betting_bm_id,betting_sc_id,betting_name,betting_score,year,performer,song,page_url,contest_round,country_name,country_code
47,88,BETSTARS,12.0,2017,Martina Bárta,My Turn,/eurovision/2017/czechia,semi-final-1,Czechia,Czechia
14,82,BETFRED,7.0,2017,Martina Bárta,My Turn,/eurovision/2017/czechia,semi-final-1,Czechia,Czechia
25,78,BETSSON,11.0,2017,Martina Bárta,My Turn,/eurovision/2017/czechia,semi-final-1,Czechia,Czechia
19,65,BETWAY,8.0,2017,Martina Bárta,My Turn,/eurovision/2017/czechia,semi-final-1,Czechia,Czechia
11,63,SPORTINGBET,12.0,2017,Martina Bárta,My Turn,/eurovision/2017/czechia,semi-final-1,Czechia,Czechia
23,58,BWIN,11.0,2017,Martina Bárta,My Turn,/eurovision/2017/czechia,semi-final-1,Czechia,Czechia
42,52,10BET,10.0,2017,Martina Bárta,My Turn,/eurovision/2017/czechia,semi-final-1,Czechia,Czechia
2,-200,BETFAIR*EXCHANGE,16.0,2017,Martina Bárta,My Turn,/eurovision/2017/czechia,semi-final-1,Czechia,Czechia
5,196,BET365,17.0,2017,Monetta & Wilson,Spirit Of The Night,/eurovision/2017/san-marino,semi-final-2,San Marino,San Marino
30,168,BETFAIRSPORT,26.0,2017,Monetta & Wilson,Spirit Of The Night,/eurovision/2017/san-marino,semi-final-2,San Marino,San Marino
1,150,PADDYPOWER,26.0,2017,Monetta & Wilson,Spirit Of The Night,/eurovision/2017/san-marino,semi-final-2,San Marino,San Marino
4,138,UNIBET,12.0,2017,Monetta & Wilson,Spirit Of The Night,/eurovision/2017/san-marino,semi-final-2,San Marino,San Marino
13,131,SKYBET,26.0,2017,Monetta & Wilson,Spirit Of The Night,/eurovision/2017/san-marino,semi-final-2,San Marino,San Marino
15,127,BOYLESPORTS,17.0,2017,Monetta & Wilson,Spirit Of The Night,/eurovision/2017/san-marino,semi-final-2,San Marino,San Marino
25,102,BETSSON,15.0,2017,Monetta & Wilson,Spirit Of The Night,/eurovision/2017/san-marino,semi-final-2,San Marino,San Marino
42,81,10BET,13.0,2017,Monetta & Wilson,Spirit Of The Night,/eurovision/2017/san-marino,semi-final-2,San Marino,San Marino
14,76,BETFRED,7.0,2017,Monetta & Wilson,Spirit Of The Night,/eurovision/2017/san-marino,semi-final-2,San Marino,San Marino
19,75,BETWAY,11.0,2017,Monetta & Wilson,Spirit Of The Night,/eurovision/2017/san-marino,semi-final-2,San Marino,San Marino
23,67,BWIN,11.0,2017,Monetta & Wilson,Spirit Of The Night,/eurovision/2017/san-marino,semi-final-2,San Marino,San Marino
11,64,SPORTINGBET,10.0,2017,Monetta & Wilson,Spirit Of The Night,/eurovision/2017/san-marino,semi-final-2,San Marino,San Marino
47,42,BETSTARS,15.0,2017,Monetta & Wilson,Spirit Of The Night,/eurovision/2017/san-marino,semi-final-2,San Marino,San Marino
2,-200,BETFAIR*EXCHANGE,22.0,2017,Monetta & Wilson,Spirit Of The Night,/eurovision/2017/san-marino,semi-final-2,San Marino,San Marino
5,219,BET365,1001.0,2018,Sanja Ilić & Balkanika,Nova Deca,/eurovision/2018/serbia,final,Serbia,Serbia
46,165,COOLBET,500.0,2018,Sanja Ilić & Balkanika,Nova Deca,/eurovision/2018/serbia,final,Serbia,Serbia
15,151,BOYLESPORTS,501.0,2018,Sanja Ilić & Balkanika,Nova Deca,/eurovision/2018/serbia,final,Serbia,Serbia
30,140,BETFAIRSPORT,501.0,2018,Sanja Ilić & Balkanika,Nova Deca,/eurovision/2018/serbia,final,Serbia,Serbia
23,114,BWIN,301.0,2018,Sanja Ilić & Balkanika,Nova Deca,/eurovision/2018/serbia,final,Serbia,Serbia
4,113,UNIBET,201.0,2018,Sanja Ilić & Balkanika,Nova Deca,/eurovision/2018/serbia,final,Serbia,Serbia
47,106,BETSTARS,301.0,2018,Sanja Ilić & Balkanika,Nova Deca,/eurovision/2018/serbia,final,Serbia,Serbia
25,104,BETSSON,500.0,2018,Sanja Ilić & Balkanika,Nova Deca,/eurovision/2018/serbia,final,Serbia,Serbia
10,102,LADBROKES,151.0,2018,Sanja Ilić & Balkanika,Nova Deca,/eurovision/2018/serbia,final,Serbia,Serbia
33,82,888SPORT,201.0,2018,Sanja Ilić & Balkanika,Nova Deca,/eurovision/2018/serbia,final,Serbia,Serbia
21,81,CORAL,151.0,2018,Sanja Ilić & Balkanika,Nova Deca,/eurovision/2018/serbia,final,Serbia,Serbia
42,80,10BET,401.0,2018,Sanja Ilić & Balkanika,Nova Deca,/eurovision/2018/serbia,final,Serbia,Serbia
19,78,BETWAY,251.0,2018,Sanja Ilić & Balkanika,Nova Deca,/eurovision/2018/serbia,final,Serbia,Serbia
13,74,SKYBET,301.0,2018,Sanja Ilić & Balkanika,Nova Deca,/eurovision/2018/serbia,final,Serbia,Serbia
12,74,WILLIAMHILL,201.0,2018,Sanja Ilić & Balkanika,Nova Deca,/eurovision/2018/serbia,final,Serbia,Serbia
14,61,BETFRED,101.0,2018,Sanja Ilić & Balkanika,Nova Deca,/eurovision/2018/serbia,final,Serbia,Serbia
2,-200,BETFAIR*EXCHANGE,1000.0,2018,Sanja Ilić & Balkanika,Nova Deca,/eurovision/2018/serbia,final,Serbia,Serbia
5,185,BET365,17.0,2018,Ari Ólafsson,Our Choice,/eurovision/2018/iceland,semi-final-1,Iceland,Iceland
15,163,BOYLESPORTS,26.0,2018,Ari Ólafsson,Our Choice,/eurovision/2018/iceland,semi-final-1,Iceland,Iceland
4,162,UNIBET,15.0,2018,Ari Ólafsson,Our Choice,/eurovision/2018/iceland,semi-final-1,Iceland,Iceland
33,143,888SPORT,15.0,2018,Ari Ólafsson,Our Choice,/eurovision/2018/iceland,semi-final-1,Iceland,Iceland
14,142,BETFRED,21.0,2018,Ari Ólafsson,Our Choice,/eurovision/2018/iceland,semi-final-1,Iceland,Iceland
12,130,WILLIAMHILL,21.0,2018,Ari Ólafsson,Our Choice,/eurovision/2018/iceland,semi-final-1,Iceland,Iceland
46,123,COOLBET,15.0,2018,Ari Ólafsson,Our Choice,/eurovision/2018/iceland,semi-final-1,Iceland,Iceland
30,122,BETFAIRSPORT,19.0,2018,Ari Ólafsson,Our Choice,/eurovision/2018/iceland,semi-final-1,Iceland,Iceland
47,88,BETSTARS,15.0,2018,Ari Ólafsson,Our Choice,/eurovision/2018/iceland,semi-final-1,Iceland,Iceland
13,78,SKYBET,17.0,2018,Ari Ólafsson,Our Choice,/eurovision/2018/iceland,semi-final-1,Iceland,Iceland
25,72,BETSSON,13.0,2018,Ari Ólafsson,Our Choice,/eurovision/2018/iceland,semi-final-1,Iceland,Iceland
42,58,10BET,15.0,2018,Ari Ólafsson,Our Choice,/eurovision/2018/iceland,semi-final-1,Iceland,Iceland
23,58,BWIN,11.0,2018,Ari Ólafsson,Our Choice,/eurovision/2018/iceland,semi-final-1,Iceland,Iceland
19,32,BETWAY,11.0,2018,Ari Ólafsson,Our Choice,/eurovision/2018/iceland,semi-final-1,Iceland,Iceland
2,-200,BETFAIR*EXCHANGE,16.0,2018,Ari Ólafsson,Our Choice,/eurovision/2018/iceland,semi-final-1,Iceland,Iceland
5,205,BET365,15.0,2018,Jessika & J. Brening,Who We Are,/eurovision/2018/san-marino,semi-final-2,San Marino,San Marino
4,162,UNIBET,11.0,2018,Jessika & J. Brening,Who We Are,/eurovision/2018/san-marino,semi-final-2,San Marino,San Marino
15,150,BOYLESPORTS,19.0,2018,Jessika & J. Brening,Who We Are,/eurovision/2018/san-marino,semi-final-2,San Marino,San Marino
33,143,888SPORT,11.0,2018,Jessika & J. Brening,Who We Are,/eurovision/2018/san-marino,semi-final-2,San Marino,San Marino
13,138,SKYBET,17.0,2018,Jessika & J. Brening,Who We Are,/eurovision/2018/san-marino,semi-final-2,San Marino,San Marino
46,136,COOLBET,13.0,2018,Jessika & J. Brening,Who We Are,/eurovision/2018/san-marino,semi-final-2,San Marino,San Marino
25,105,BETSSON,13.0,2018,Jessika & J. Brening,Who We Are,/eurovision/2018/san-marino,semi-final-2,San Marino,San Marino
