Country,juror_A,juror_B,juror_C,juror_D,juror_E,act,night,city,year
Finland,2,12,9,17,11,estonia,first-semi-final,stockholm,2016
Greece,17,16,17,14,7,estonia,first-semi-final,stockholm,2016
Hungary,6,5,7,4,14,estonia,first-semi-final,stockholm,2016
Iceland,5,6,12,5,10,estonia,first-semi-final,stockholm,2016
Malta,8,3,3,9,2,estonia,first-semi-final,stockholm,2016
Moldova,9,14,10,13,13,estonia,first-semi-final,stockholm,2016
Montenegro,10,15,14,3,12,estonia,first-semi-final,stockholm,2016
Netherlands,7,1,2,6,1,estonia,first-semi-final,stockholm,2016
Russia,4,10,8,12,9,estonia,first-semi-final,stockholm,2016
SanMarino,16,13,16,11,16,estonia,first-semi-final,stockholm,2016
Armenia,6,3,8,7,6,finland,first-semi-final,stockholm,2016
Austria,13,6,1,15,2,finland,first-semi-final,stockholm,2016
Azerbaijan,4,9,10,5,9,finland,first-semi-final,stockholm,2016
BosniaHerzegovina,8,14,17,16,14,finland,first-semi-final,stockholm,2016
Croatia,10,4,7,10,5,finland,first-semi-final,stockholm,2016
Cyprus,9,13,13,13,11,finland,first-semi-final,stockholm,2016
Czechia,5,2,6,3,3,finland,first-semi-final,stockholm,2016
Estonia,12,8,4,11,12,finland,first-semi-final,stockholm,2016
Greece,17,17,15,17,16,finland,first-semi-final,stockholm,2016
Hungary,14,15,12,6,7,finland,first-semi-final,stockholm,2016
Iceland,3,7,9,4,13,finland,first-semi-final,stockholm,2016
Malta,1,10,3,8,4,finland,first-semi-final,stockholm,2016
Moldova,15,16,14,9,8,finland,first-semi-final,stockholm,2016
Montenegro,16,11,16,14,17,finland,first-semi-final,stockholm,2016
Netherlands,7,1,5,1,1,finland,first-semi-final,stockholm,2016
Russia,2,5,11,2,10,finland,first-semi-final,stockholm,2016
SanMarino,11,12,2,12,15,finland,first-semi-final,stockholm,2016
Armenia,11,4,11,9,3,france,first-semi-final,stockholm,2016
Austria,5,3,2,2,1,france,first-semi-final,stockholm,2016
Azerbaijan,4,6,7,5,12,france,first-semi-final,stockholm,2016
BosniaHerzegovina,18,15,18,18,17,france,first-semi-final,stockholm,2016
Croatia,8,11,8,3,4,france,first-semi-final,stockholm,2016
Cyprus,10,12,4,8,2,france,first-semi-final,stockholm,2016
Czechia,15,9,3,10,11,france,first-semi-final,stockholm,2016
Estonia,14,13,6,6,10,france,first-semi-final,stockholm,2016
Finland,13,8,9,12,13,france,first-semi-final,stockholm,2016
Greece,7,18,13,16,15,france,first-semi-final,stockholm,2016
Hungary,6,2,14,7,5,france,first-semi-final,stockholm,2016
Iceland,16,5,12,13,14,france,first-semi-final,stockholm,2016
Malta,9,1,1,4,7,france,first-semi-final,stockholm,2016
Moldova,2,17,15,14,8,france,first-semi-final,stockholm,2016
Montenegro,17,14,16,17,16,france,first-semi-final,stockholm,2016
Netherlands,1,10,5,1,6,france,first-semi-final,stockholm,2016
